id_key	nmea_telegram	update_utcdate
625	$PSCMSM2,135717.00,A,TEY,1,H,,15*51	2018-04-20 14:00:24.023
626	$PSCMGLL,5306.65,N,00954.60,W,140019.00,A,A*61	2018-04-20 14:00:24.123
627	$PSCMVTG,124.00,T,127.00,M,4.10,N,7.59,K,A*34	2018-04-20 14:00:24.220
628	$PSCMZDA,135718.00,20,04,2018,00,00*78	2018-04-20 14:00:24.303
629	$PSCMSM2,135718.00,V,DST,1,,60.63,15*27	2018-04-20 14:00:24.470
630	$PSCMSM2,135718.00,V,TSP,1,X,-0.10,1*41	2018-04-20 14:00:24.553
631	$PSCMSM2,135718.00,V,TSP,1,Y,0.72,1*69	2018-04-20 14:00:24.637
632	$PSCMSM2,135718.00,A,DST,7,,20.13,15*35	2018-04-20 14:00:24.723
633	$PSCMSM2,135718.00,V,TS,2,F,7.00,1*27	2018-04-20 14:00:24.803
634	$PSCMSM2,135718.00,V,TS,2,O,19.88,1*11	2018-04-20 14:00:24.887
635	$PSCMSM2,135718.00,V,TS,2,C,0.00,1*25	2018-04-20 14:00:25.013
636	$PSCMSM2,135718.00,V,TS,2,H,19.88,1*16	2018-04-20 14:00:25.050
637	$PSCMSM2,135718.00,V,TEY,1,H,,15*49	2018-04-20 14:00:25.130
638	$PSCMZDA,135719.00,20,04,2018,00,00*79	2018-04-20 14:00:25.410
639	$PSCMDBS,293.64,f,89.50,M,48.94,F*24	2018-04-20 14:00:25.490
640	$PSCMSM2,135719.00,V,DST,1,,60.88,15*23	2018-04-20 14:00:25.577
641	$PSCMSM2,135719.00,V,TSP,1,X,-0.10,1*40	2018-04-20 14:00:25.660
642	$PSCMSM2,135719.00,V,DST,7,,20.06,15*27	2018-04-20 14:00:25.830
643	$PSCMSM2,135719.00,V,TS,2,F,7.00,1*26	2018-04-20 14:00:25.910
644	$PSCMSM2,135719.00,V,TS,2,C,0.00,1*24	2018-04-20 14:00:26.077
